"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://irishealing.com/wp-content/uploads/2023/01/IRIS_optimized.webp","image/webp","4718","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/01/iris2.png","image/png","268451","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2022/12/image-43-1-1.webp","image/webp","1428","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/medical-supervised-alcohol-detox-support-1024x559.jpg","image/jpeg","70556","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/supportive-care-alcohol-withdrawal-recovery-1024x559.jpg","image/jpeg","64405","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2022/12/jcaho_seal.webp","image/webp","7050","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/AdobeStock_356882834-min-1024x683.jpeg","image/jpeg","95070","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/jcaho_seal-1.png","image/png","7299","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/safe-medical-consultation-tapering.png","image/png","1082073","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2023/01/newsweek-optimized.webp","image/webp","7170","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/02/irisnew-1.png","image/png","417820","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2022/12/4794370.png","image/png","10415","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2022/12/psychology-today-logo.png","image/png","12680","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/01/IRIS_Clear-1024x683-1.webp","image/webp","58266","473","Indexable","",""
"https://irishealing.com/wp-content/themes/boliin/assets/images/logo-mobile.png","image/png","8778","473","Indexable","",""
"https://irishealing.com/wp-content/uploads/2025/07/iStock-538509937.jpg","image/jpeg","2396934","9","Indexable","",""
"https://irishealing.com/wp-content/plugins/boliin-themer/elementor/assets/images/logo-small-white.png","image/png","1223","9","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-banner.webp","image/webp","146836","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/irishealing.png","image/png","50276","120","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/AdobeStock_451805494-min-scaled.jpeg","image/jpeg","364890","10","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-5-1024x569.png","image/png","805087","5","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-4-1024x564.png","image/png","962911","5","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-3-1024x578.png","image/png","571905","5","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Mental-Health-Treatment-Centers-2.jpg","image/jpeg","186499","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-1-1024x573.png","image/png","512119","5","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-2-1024x562.png","image/png","575074","5","Indexable","",""
"https://irishealing.com/wp-content/plugins/boliin-themer/elementor/assets/images/image-1.jpg","image/jpeg","67929","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-5-1-175x175.png","image/png","59311","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-13-175x175.png","image/png","36009","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Tour-7-01-175x175.jpg","image/jpeg","9102","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-3-1-175x175.png","image/png","61128","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-2-1-175x175.png","image/png","34948","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-12-175x175.png","image/png","38493","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Screenshot-2024-06-04-at-7.56.21-AM-797x1024-1.png","image/png","834079","3","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-11-175x175.png","image/png","54806","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Tour-8-175x175.jpg","image/jpeg","7608","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-10-175x175.png","image/png","44470","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Tour-4-01-175x175.jpg","image/jpeg","9428","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-9-175x175.png","image/png","53156","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Addiction-Treatment-Centers-in-Los-Angeles-for-Drugs-Alcohol-175x175.jpg","image/jpeg","10441","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-1-1-175x175.png","image/png","38218","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-4-1-175x175.png","image/png","29371","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-15-175x175.png","image/png","41300","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-14-175x175.png","image/png","38681","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-16-175x175.png","image/png","37580","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Music-Therapy-1-1.jpg","image/jpeg","81324","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-6-175x175.png","image/png","51760","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-7-175x175.png","image/png","62902","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/PSYCHOTHERAPY.jpg","image/jpeg","52170","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-8-175x175.png","image/png","47541","11","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/DBT.jpg","image/jpeg","71914","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/AdobeStock_335196278-min-scaled.jpeg","image/jpeg","350527","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/health-net.png","image/png","4036","2","Indexable","",""
