"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","","True","","","200","OK","Path-Relative","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[2]/div/div[1]/div/div/div/div/div/div[2]/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","","True","","","200","OK","Path-Relative","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[3]/div/div[1]/div/div[@class='bdt-offcanvas-button-wrapper']/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","Home | Iris Healing® - Luxury Addiction Treatment","True","","","200","OK","Path-Relative","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[3]/div/div[1]/div/div/div/div/div/div[@class='about-three__image']/div/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","Home | Iris Healing® - Luxury Addiction Treatment","True","","","200","OK","Path-Relative","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[3]/div/div[1]/div/div/div/div/div/div[@class='about-three__image-second']/div/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","","True","","","200","OK","Path-Relative","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[5]/div/div[2]/div/section[1]/div/div[2]/div/div[2]/div/div/div[@class='elementor-icon-box-icon']/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","Trusted by Many","","True","","","200","OK","Path-Relative","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[5]/div/div[2]/div/section[1]/div/div[2]/div/div[2]/div/div/div[@class='elementor-icon-box-content']/h3/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/","https://irishealing.com/","","","True","","","200","OK","Path-Relative","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='control-close-mm']","Content","HTML","341309","65671"
"HTML Canonical","https://irishealing.com/","https://irishealing.com/","","","True","","","200","OK","Absolute","//head/link[2]","Head","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/heroin/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/heroin/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/heroin/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/div/section[1]/div/div/div/div/div/div/div/div/div/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/heroin/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/heroin/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/drug-rehab-in-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/drug-rehab-in-los-angeles/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/drug-rehab-in-los-angeles/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[1]/div/div/div/div[1]/div/div/div/div/div/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/drug-rehab-in-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/drug-rehab-in-los-angeles/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/mental-health-treatment-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/mental-health-treatment-los-angeles/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/mental-health-treatment-los-angeles/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[1]/div/div/div/div/div/div/div/div/div[@class='breadcrumb-main']/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/mental-health-treatment-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/mental-health-treatment-los-angeles/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/div/section[1]/div/div/div/div/div/div/div/div/div/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[1]/div/div/div/div/div/div/div/div/div[@class='breadcrumb-main']/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/rehab-aftercare/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/rehab-aftercare/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/rehab-aftercare/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/div/section[1]/div/div/div/div/div/div/div/div/div[@class='breadcrumb-main']/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/rehab-aftercare/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/rehab-aftercare/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/contact/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/contact/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/contact/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[1]/div/div/div/div/div/div/div/div/div/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/contact/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/contact/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/spiritual-counseling/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/spiritual-counseling/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/spiritual-counseling/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div/div/div/div/div[1]/section[1]/div/div/div/div/div/div/div/div/div[@class='breadcrumb-main']/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/spiritual-counseling/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/therapy/spiritual-counseling/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/blog/how-to-help-alcohol-withdrawal/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/blog/how-to-help-alcohol-withdrawal/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/blog/how-to-help-alcohol-withdrawal/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/section/div/div/div/div/div[1]/div[@class='breadcrumb-main']/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/blog/how-to-help-alcohol-withdrawal/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/blog/how-to-help-alcohol-withdrawal/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/xanax/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/xanax/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/xanax/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/div/section[1]/div/div/div/div/div/div/div/div/div/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/xanax/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/xanax/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/intensive-outpatient-program-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/intensive-outpatient-program-los-angeles/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/intensive-outpatient-program-los-angeles/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/div/section[1]/div/div/div/div/div/div/div/div/div/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/intensive-outpatient-program-los-angeles/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/intensive-outpatient-program-los-angeles/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/iris-healing-retreat-los-angeles-ca/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[1]/div/div/div/section[1]/div/div[1]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/iris-healing-retreat-los-angeles-ca/","https://irishealing.com/","","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/header/div/div/div/div/section[2]/div/div[1]/div/div/div/a","Header","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/iris-healing-retreat-los-angeles-ca/","https://irishealing.com/","Home","","True","","","200","OK","Absolute","//body/div[@class='wrapper-page']/div/div/section[1]/div/div/div/div/div/div/div/div/div[@class='breadcrumb-main']/div/div/ol/li[1]/a","Content","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/iris-healing-retreat-los-angeles-ca/","https://irishealing.com/","","Home","True","","","200","OK","Absolute","//body/footer/div/div/section[2]/div/div[1]/div/div[1]/div/div/div/a","Footer","HTML","341309","65671"
"Hyperlink","https://irishealing.com/addiction-treatment/iris-healing-retreat-los-angeles-ca/","https://irishealing.com/","","Iris Healing® – Luxury Addiction Treatment","True","","","200","OK","Absolute","//body/div[@class='canvas-mobile']/div/div[@class='top-canvas']/a[@class='logo-mm']","Content","HTML","341309","65671"
