"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://irishealing.com/","1","Iris Healing - Los Angeles Rehab & Addiction Treatment","54","492","Indexable",""
"https://irishealing.com/drug-rehab-in-los-angeles/","1","Drug Rehab in Los Angeles | Iris Healing®","41","369","Indexable",""
"https://irishealing.com/mental-health-treatment-los-angeles/","1","Mental Health Treatment Centers in Los Angeles | Iris Rehab","59","539","Indexable",""
"https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","1","Drug Rehab in Los Angeles, CA | Iris Healing®","45","404","Indexable",""
"https://irishealing.com/therapy/","1","Addiction Therapy in Los Angeles - Iris Healing®","48","428","Indexable",""
"https://irishealing.com/rehab-aftercare/","1","Addiction Aftercare Services - Los Angeles - Iris Healing®","58","511","Indexable",""
"https://irishealing.com/addiction-treatment/heroin/","1","Heroin Addiction Treatment Center in Woodland Hills, CA | Iris Healing","70","622","Indexable",""
"https://irishealing.com/contact/","1","Contact Iris Healing® Retreat | Luxury Rehabilitation Center","60","529","Indexable",""
"https://irishealing.com/blog/how-to-help-alcohol-withdrawal/","1","How to Help Alcohol Withdrawal: Symptoms, Timeline, Home Care & When to Get Medical Help","88","843","Indexable",""
"https://irishealing.com/therapy/spiritual-counseling/","1","Spiritual Counseling Services - Iris Healing® - Los Angeles","59","516","Indexable",""
"https://irishealing.com/addiction-treatment/xanax/","1","Xanax Addiction Treatment Center in Woodland Hills, CA | Iris Healing","69","619","Indexable",""
"https://irishealing.com/intensive-outpatient-program-los-angeles/","1","Intensive Outpatient Program in Los Angeles | Iris Healing","58","514","Indexable",""
"https://irishealing.com/therapy/nutritional-therapy/","1","Nutritional Therapy - Iris Healing® Woodland Hills, CA","54","476","Indexable",""
"https://irishealing.com/addiction-treatment/iris-healing-retreat-los-angeles-ca/","1","Iris Healing Luxury Rehab in Los Angeles, CA","44","395","Indexable",""
"https://irishealing.com/medication-assisted-treatment/","1","Medication-Assisted Treatment | Common Types - IRIS Healing","59","560","Indexable",""
"https://irishealing.com/mental-health-treatment-los-angeles/depression/","1","Depression Treatment in Los Angeles, CA | Iris Healing®","55","501","Indexable",""
"https://irishealing.com/alcohol-rehab-in-woodland-hills/","1","Alcohol Rehab in Woodland Hills | Iris Healing®","47","417","Indexable",""
"https://irishealing.com/tour/","1","Tour - Los Angeles Rehab | Iris Healing® Retreat","48","429","Indexable",""
